Change Physical Footprint: Designator=300 Old Footprint=IC_STM32FM New Footprint=IC_STM32FM
Change Physical Footprint: Designator=301 Old Footprint=CONN_ST_PROGRAMMER New Footprint=CONN_ST_PROGRAMMER
Change Physical Footprint: Designator=800 Old Footprint=IC_ MCP2221 New Footprint=IC_ MCP2221
Change Physical Footprint: Designator=C1 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C2 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C3 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C4 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C5 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C6 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C7 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C8 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C9 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C10 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C11 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C12 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C13 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C14 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C15 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C16 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C17 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C18 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C19 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C20 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C21 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C22 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C23 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C24 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C25 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C26 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C27 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C28 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C200 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C201 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C300 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C301 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C302 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C303 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C304 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C400 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C401 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C402 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C403 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C404 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C405 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C406 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C407 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C408 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C409 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C410 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C411 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C412 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C413 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C414 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C415 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C416 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C417 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C418 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C800 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=C801 Old Footprint=CAP_0805 New Footprint=CAP_0805
Change Physical Footprint: Designator=D300 Old Footprint=LED_RED_0805 New Footprint=LED_RED_0805
Change Physical Footprint: Designator=D700 Old Footprint=SOD323-12 New Footprint=SOD323-12
Change Physical Footprint: Designator=J800 Old Footprint=FCI_10118192 New Footprint=FCI_10118192
Change Physical Footprint: Designator=MH200 Old Footprint=MHOLE_2_55MM New Footprint=MHOLE_2_55MM
Change Physical Footprint: Designator=MH201 Old Footprint=MHOLE_2_55MM New Footprint=MHOLE_2_55MM
Change Physical Footprint: Designator=MH202 Old Footprint=MHOLE_2_55MM New Footprint=MHOLE_2_55MM
Change Physical Footprint: Designator=MH203 Old Footprint=MHOLE_2_55MM New Footprint=MHOLE_2_55MM
